hour,minute,day,month,year,site_id_ttl,irradiance_wm2,rainfall_mm,relative_humidity_pct,sea_level_pressure_hpa,temperature_c,visibility_km,wind_speed_ms,normalized_generation
13,30,2,1,2023,SQ1,324.52,0.0,47.861,1008.70913,23.368,15.989,1.6401,0.1001086956521738958
13,45,2,1,2023,SQ1,311.71,0.0,47.728,1008.68913,23.458,15.987,1.8527,0.0939855072463768038
14,0,2,1,2023,SQ1,316.46,0.0,49.574,1008.56913,23.19,15.989,1.1568,0.0942391304347826031
14,15,2,1,2023,SQ1,333.02,0.0,48.792,1008.57913,22.811,15.988,2.1482,0.0934057971014491950
14,30,2,1,2023,SQ1,246.07,0.0,50.089,1008.53913,22.799,15.987,2.0004,0.0728260869565216934
14,45,2,1,2023,SQ1,204.25,0.0,53.994,1008.66913,21.926,15.987,0.88162,0.0632608695652173009
15,0,2,1,2023,SQ1,212.75,0.0,53.447,1008.70913,21.525,15.988,1.7991,0.0703260869565217051
15,15,2,1,2023,SQ1,249.94,0.0,54.087,1008.72913,21.617,15.989,2.0632,0.0689130434782607992
15,30,2,1,2023,SQ1,203.7,0.0,52.343,1008.67913,22.022,15.989,1.8373,0.0528260869565217034
15,45,2,1,2023,SQ1,159.45,0.0,52.658,1008.60913,21.666,15.99,2.1641,0.0346376811594202028
16,0,2,1,2023,SQ1,32.884,0.0,53.208,1008.63913,20.694,15.99,1.6337,0.0218840579710143993
16,15,2,1,2023,SQ1,68.199,0.0,57.807,1008.76913,19.743,15.988,1.5621,0.0261956521739129984
16,30,2,1,2023,SQ1,63.679,0.0,59.277,1008.87913,19.087,15.983,2.3456,0.0291304347826085996
16,45,2,1,2023,SQ1,59.598,0.0,60.62,1008.84913,19.031,15.981,3.7735,0.0203260869565216988
17,0,2,1,2023,SQ1,60.925,0.0,60.279,1009.09913,18.936,15.982,3.6821,0.0135507246376811007
17,15,2,1,2023,SQ1,42.054,0.0,61.054,1009.03913,18.703,15.983,3.0488,0.0059057971014491997
17,30,2,1,2023,SQ1,31.128,0.0,62.107,1009.18913,18.133,15.983,3.2906,0.0016666666666666000
17,45,2,1,2023,SQ1,21.305,0.0,62.041,1009.27913,18.168,15.983,3.3914,0.0000000000000000000
18,0,2,1,2023,SQ1,17.995,0.0,62.164,1009.30913,17.978,15.983,3.8055,0.0000000000000000000
18,15,2,1,2023,SQ1,16.67,0.0,63.409,1009.42913,17.812,15.981,4.1638,0.0000000000000000000
18,30,2,1,2023,SQ1,16.229,0.0,63.833,1009.39913,17.621,15.978,4.9338,0.0000000000000000000
18,45,2,1,2023,SQ1,15.898,0.0,64.103,1009.57913,17.242,15.978,3.4788,0.0000000000000000000
19,0,2,1,2023,SQ1,15.899,0.0,65.0,1009.56913,17.165,15.979,3.161,0.0000000000000000000
19,15,2,1,2023,SQ1,15.899,0.0,65.113,1009.62913,17.042,15.979,3.8371,0.0000000000000000000
19,30,2,1,2023,SQ1,15.899,0.0,66.257,1009.67913,17.022,15.98,3.7567,0.0000000000000000000
19,45,2,1,2023,SQ1,15.899,0.0,66.862,1009.70913,16.675,15.98,3.9649,0.0000000000000000000
20,0,2,1,2023,SQ1,15.789,0.0,66.529,1009.90913,16.655,15.98,4.5226,0.0000000000000000000
20,15,2,1,2023,SQ1,15.899,0.0,66.799,1009.82913,16.567,15.981,5.0533,0.0000000000000000000
20,30,2,1,2023,SQ1,15.899,0.0,67.438,1009.85913,16.321,15.981,2.9756,0.0000000000000000000
20,45,2,1,2023,SQ1,15.899,0.0,67.819,1009.88913,16.221,15.717,3.401,0.0000000000000000000
21,0,2,1,2023,SQ1,15.9,0.0,67.361,1010.02913,16.065,15.532,3.2287,0.0000000000000000000
21,15,2,1,2023,SQ1,15.679,0.0,66.532,1009.99913,16.154,15.472,4.2676,0.0000000000000000000
21,30,2,1,2023,SQ1,15.79,0.0,67.629,1009.96913,15.931,15.189,3.6138,0.0000000000000000000
21,45,2,1,2023,SQ1,15.569,0.0,68.044,1010.02913,15.964,15.318,4.234,0.0000000000000000000
22,0,2,1,2023,SQ1,15.349,0.0,68.435,1010.13913,15.819,15.26,2.4786,0.0000000000000000000
22,15,2,1,2023,SQ1,15.46,0.0,68.122,1010.11913,15.763,15.358,3.831,0.0000000000000000000
22,30,2,1,2023,SQ1,15.459,0.0,68.2,1010.11913,15.751,15.206,2.7719,0.0000000000000000000
22,45,2,1,2023,SQ1,15.46,0.0,67.976,1010.13913,15.662,14.967,3.5041,0.0000000000000000000
23,0,2,1,2023,SQ1,16.012,0.0,67.551,1010.08913,15.639,14.938,4.6751,0.0000000000000000000
23,15,2,1,2023,SQ1,16.564,0.0,67.573,1010.08913,15.684,14.762,4.1959,0.0000000000000000000
23,30,2,1,2023,SQ1,16.344,0.0,67.92,1010.05913,15.718,14.447,4.2564,0.0000000000000000000
23,45,2,1,2023,SQ1,16.453,0.0,68.838,1010.02913,15.505,14.315,2.5122,0.0000000000000000000
0,0,3,1,2023,SQ1,15.68,0.0,70.921,1009.99913,15.371,13.978,3.2757,0.0000000000000000000
0,15,3,1,2023,SQ1,15.901,0.0,68.962,1010.05913,15.315,14.288,4.1108,0.0000000000000000000
0,30,3,1,2023,SQ1,16.453,0.0,68.424,1010.02913,15.494,14.359,4.9751,0.0000000000000000000
0,45,3,1,2023,SQ1,16.563,0.0,68.368,1009.99913,15.483,14.485,5.1453,0.0000000000000000000
1,0,3,1,2023,SQ1,16.122,0.0,68.447,1009.94913,15.393,14.427,4.9079,0.0000000000000000000
1,15,3,1,2023,SQ1,16.122,0.0,68.301,1009.97913,15.393,14.632,4.478,0.0000000000000000000
1,30,3,1,2023,SQ1,16.564,0.0,68.995,1009.97913,15.248,14.409,3.0674,0.0000000000000000000
1,45,3,1,2023,SQ1,16.564,0.0,68.861,1009.83913,15.371,14.606,4.5452,0.0000000000000000000
2,0,3,1,2023,SQ1,16.674,0.0,69.186,1009.80913,15.236,14.513,4.9482,0.0000000000000000000
2,15,3,1,2023,SQ1,16.563,0.0,69.98,1009.80913,15.147,14.471,3.5466,0.0000000000000000000
2,30,3,1,2023,SQ1,16.563,0.0,69.756,1009.78913,14.99,14.346,3.2779,0.0000000000000000000
2,45,3,1,2023,SQ1,16.453,0.0,70.215,1009.82913,15.08,14.408,2.9018,0.0000000000000000000
3,0,3,1,2023,SQ1,16.564,0.0,69.824,1009.67913,14.923,14.485,4.4109,0.0000000000000000000
3,15,3,1,2023,SQ1,16.564,0.0,70.54,1009.61913,14.934,14.358,3.9048,0.0000000000000000000
3,30,3,1,2023,SQ1,16.564,0.0,71.469,1009.61913,14.766,14.134,4.1981,0.0000000000000000000
3,45,3,1,2023,SQ1,16.785,0.0,70.798,1009.59913,14.8,14.323,3.7168,0.0000000000000000000
4,0,3,1,2023,SQ1,16.564,0.0,70.977,1009.68913,14.71,14.355,4.9796,0.0000000000000000000
4,15,3,1,2023,SQ1,16.675,0.0,70.283,1009.61913,14.542,14.235,5.2796,0.0000000000000000000
4,30,3,1,2023,SQ1,16.785,0.0,69.6,1009.71913,14.486,14.298,5.7184,0.0000000000000000000
4,45,3,1,2023,SQ1,16.563,0.0,69.745,1009.65913,14.386,14.383,4.9527,0.0000000000000000000
5,0,3,1,2023,SQ1,17.006,0.0,70.059,1009.59913,14.251,14.387,4.2026,0.0000000000000000000
5,15,3,1,2023,SQ1,16.673,0.0,69.902,1009.62913,14.184,14.112,4.9236,0.0000000000000000000
5,30,3,1,2023,SQ1,16.785,0.0,70.316,1009.69913,14.027,13.851,4.0369,0.0000000000000000000
5,45,3,1,2023,SQ1,16.785,0.0,68.973,1009.74913,14.207,14.123,7.532,0.0000000000000000000
6,0,3,1,2023,SQ1,16.785,0.0,68.469,1009.76913,14.218,14.035,5.4923,0.0000000000000000000
6,15,3,1,2023,SQ1,17.005,0.0,69.253,1009.71913,14.039,13.941,5.6446,0.0000000000000000000
6,30,3,1,2023,SQ1,17.115,0.0,70.327,1009.80913,14.016,13.658,4.9393,0.0000000000000000000
6,45,3,1,2023,SQ1,17.226,0.0,69.756,1009.78913,14.005,13.587,6.7439,0.0000000000000000000
7,0,3,1,2023,SQ1,18.331,0.0,69.801,1009.83913,13.781,13.332,7.7828,0.0000000000000000000
7,15,3,1,2023,SQ1,20.871,0.0,71.839,1009.90913,13.781,13.236,5.3871,0.0006159420289854999
7,30,3,1,2023,SQ1,32.246,0.0,74.212,1010.00913,13.669,12.755,5.5483,0.0060869565217391000
7,45,3,1,2023,SQ1,67.251,0.0,75.735,1010.00913,13.703,12.644,6.5514,0.0221739130434782002
8,0,3,1,2023,SQ1,104.79,0.0,73.775,1010.10913,14.285,13.096,4.8452,0.0244927536231883992
8,15,3,1,2023,SQ1,67.802,0.0,72.029,1010.19913,14.117,12.68,6.5111,0.0169927536231883995
8,30,3,1,2023,SQ1,59.297,0.0,73.518,1010.15913,14.061,12.571,4.5542,0.0344202898550724015
8,45,3,1,2023,SQ1,127.76,0.0,71.436,1010.23913,14.475,12.848,6.6767,0.0374637681159420005
9,0,3,1,2023,SQ1,173.7,0.0,70.708,1010.26913,14.945,13.21,5.105,0.0544565217391303966
9,15,3,1,2023,SQ1,145.1,0.0,67.294,1010.29913,15.18,13.203,5.1721,0.0472101449275362031
9,30,3,1,2023,SQ1,170.38,0.0,66.857,1010.41913,15.304,13.565,6.2603,0.0549637681159420022
9,45,3,1,2023,SQ1,164.63,0.0,68.133,1010.31913,15.584,14.147,2.0263,0.0545289855072463026
10,0,3,1,2023,SQ1,176.44,0.0,67.526,1010.30913,15.817,13.929,2.5658,0.0556884057971014021
10,15,3,1,2023,SQ1,174.23,0.0,67.388,1010.30913,15.903,13.908,4.4239,0.0540217391304346969
10,30,3,1,2023,SQ1,195.43,0.0,65.807,1010.24913,16.08,14.176,4.6968,0.0692753623188405027
10,45,3,1,2023,SQ1,257.04,0.0,64.105,1010.31913,16.303,14.286,2.9999,0.0826086956521738941
11,0,3,1,2023,SQ1,266.08,0.0,63.288,1010.21913,16.717,14.466,2.9461,0.0892028985507245936
11,15,3,1,2023,SQ1,271.15,0.0,60.612,1010.04913,17.298,14.745,3.7206,0.0887681159420288940
11,30,3,1,2023,SQ1,282.52,0.0,61.383,1009.94913,17.32,14.482,4.7369,0.0896376811594202932
